round,pick_idx,smiles,mu,std,UCB,True f
0,1,Cc1nc2ccccc2n(CC(=O)NNC(=O)c2ccccc2)c1=O,0.3071872591972351,0.8537746667861938,0.9108970761299133,0.43994134506405985
0,2,COc1ccccc1C(=O)Nc1ccc2nc3n(c(=O)c2c1)CCCC3,0.2705068290233612,0.8952889442443848,0.9035717248916626,0.15533688107974267
0,3,COc1ccc(NC(=O)CCn2cnc3onc(-c4ccc(F)cc4)c3c2=O)cc1OC,0.2387097179889679,0.920792818069458,0.8898085355758667,0.1465161286741825
0,4,Cc1cc2c(C)n(Cc3ccccc3Cl)nc2c(C(=O)O)c1C,0.21907176077365875,0.9244730472564697,0.8727728724479675,0.5
0,5,CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CC3CCC2C3)C1,0.20620593428611755,0.9471169114112854,0.8759187459945679,4.881518207354553e-05
1,1,CC(=O)Nc1nc2ccccc2n1Cc1ccccc1C,0.30597615242004395,0.8742389678955078,0.9241564273834229,0.4373835248681493
1,2,Cc1nc2ccccc2c(=O)n1C(CCC(=O)O)C(=O)O,0.2478846311569214,0.921632707118988,0.8995773792266846,0.1718362539184194
1,3,Cc1nn(-c2cc(Cl)ccc2Cl)c(C)c1C(=O)O,0.22850102186203003,0.9283647537231445,0.884954035282135,0.160555751027256
1,4,COc1ccc2c(C)c(CC(=O)NCc3ccccc3Cl)c(=O)oc2c1OC,0.2491251826286316,0.8996937870979309,0.8853047490119934,0.5200882648923051
1,5,Cc1ccc(S(=O)(=O)n2cnc3cc([N+](=O)[O-])ccc32)c(C)c1C,0.19597789645195007,0.9479090571403503,0.86625075340271,0.3810003810005715
2,1,Cc1ccccc1OCc1nc2ccccc2n1Cc1ccccc1Cl,0.3282617926597595,0.8710587620735168,0.9441933631896973,0.16645250355042476
2,2,Cc1nn(CC(=O)NCc2ccccc2Cl)c(C)c1[N+](=O)[O-],0.32089734077453613,0.8747764825820923,0.9394577145576477,0.18645381971541725
2,3,COc1ccc2c(C)c(Cc3ccccc3)c(=O)oc2c1OC,0.3488495945930481,0.8201853036880493,0.9288081526756287,0.4622501635210242
2,4,Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccccc2C(=O)O)c1C,0.26499149203300476,0.9101303219795227,0.9085508584976196,0.16879466394447717
2,5,O=S(=O)(c1cccs1)n1cnc2ccccc21,0.24749207496643066,0.9157315492630005,0.8950120806694031,0.3676073110469039
3,1,COc1ccc(C=NNC(=O)Cn2c(=O)c(C)nc3ccccc32)c(OC)c1,0.37979573011398315,0.7927358746528625,0.9403446316719055,0.46770717334674267
3,2,Cc1c(C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)oc2c(Cl)cccc12,0.2935248017311096,0.889282763004303,0.9223426580429077,0.17273592631859463
3,3,COc1ccc2c(=O)cc(-c3ccc4[nH]cnc4c3)oc2c1OC,0.2898138165473938,0.8783150911331177,0.9108763337135315,0.14229199161554537
3,4,O=C(O)c1ncn2c1c(O)nc1ccccc12,0.2607247233390808,0.9030213356018066,0.899257242679596,0.41015155621479793
3,5,CCC(NC(=O)Cc1c(C)c2ccc(OC)c(C)c2oc1=O)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)O,0.2705501616001129,0.8994345664978027,0.9065464735031128,0.45022516889074815
